Date,Month,Line,Contour,Pot #,Depth,BAIT,SEX,Carapace Width
8/23/18,August,SJS,,3,,,1,138
8/23/18,August,SJS,,1,,,1,140
8/23/18,August,SJS,,2,,,1,141
8/23/18,August,SJS,,3,,,1,141
8/30/18,August,OT 03,,1,,,1,142
8/30/18,August,OT 03,,2,,,1,143
8/23/18,August,SJS,,2,,,1,150
8/30/18,August,OT 03,,1,,,1,151
8/23/18,August,SJS,,2,,,1,155
8/23/18,August,SJS,,3,,,1,155
8/23/18,August,SJS,,3,,,1,155
8/30/18,August,OS2,,2,,,1,156
8/30/18,August,OT 03,,1,,,1,157
8/23/18,August,SJS,,3,,,1,158
8/23/18,August,SJS,,3,,,1,158
8/23/18,August,SJS,,3,,,1,158
8/30/18,August,OS2,,2,,,1,158
8/30/18,August,OT 03,,1,,,1,158
8/30/18,August,OT 03,,1,,,1,158
8/30/18,August,OT 03,,1,,,1,158
8/30/18,August,OT 03,,2,,,1,158
8/23/18,August,SJS,,3,,,1,159
8/23/18,August,SJS,,1,,,1,160
8/23/18,August,SJS,,2,,,1,160
8/30/18,August,OS2,,1,,,1,160
8/30/18,August,OT 03,,2,,,1,160
8/23/18,August,SJS,,1,,,1,161
8/30/18,August,OS2,,1,,,1,162
8/30/18,August,OS2,,2,,,1,162
8/30/18,August,OT 03,,1,,,1,162
8/23/18,August,SJS,,2,,,1,163
8/30/18,August,OS2,,2,,,1,163
8/30/18,August,OT 03,,2,,,1,163
8/30/18,August,OT 03,,2,,,1,163
8/23/18,August,SJS,,1,,,1,165
8/23/18,August,SJS,,3,,,1,165
8/23/18,August,SJS,,3,,,1,165
8/23/18,August,SJS,,3,,,1,165
8/23/18,August,SJS,,3,,,1,165
8/30/18,August,OT 03,,1,,,1,165
8/30/18,August,OT 03,,2,,,1,165
8/30/18,August,OT 03,,2,,,1,166
8/30/18,August,OS2,,1,,,1,168
8/30/18,August,OS2,,1,,,1,168
8/30/18,August,OS2,,2,,,1,168
8/30/18,August,OS2,,2,,,1,168
8/30/18,August,OT 03,,1,,,1,168
8/30/18,August,OT 03,,2,,,1,168
8/30/18,August,OT 03,,2,,,1,168
8/23/18,August,SJS,,3,,,1,169
8/23/18,August,SJS,,1,,,1,170
8/23/18,August,SJS,,1,,,1,170
8/23/18,August,SJS,,2,,,1,170
8/30/18,August,OS1,,1,,,1,170
8/30/18,August,OS2,,1,,,1,170
8/30/18,August,OS2,,2,,,1,170
8/30/18,August,OT 03,,1,,,1,170
8/30/18,August,OT 03,,1,,,1,170
