Date,Month,Line,Contour,Pot #,Depth,BAIT,SEX,Carapace Width
4/7/14,April,NH,40,1,41,RF,2,158
4/7/14,April,NH,40,1,41,RF,1,159
4/7/14,April,NH,40,1,41,RF,2,149
4/7/14,April,NH,40,1,41,RF,2,147
4/7/14,April,NH,40,1,41,RF,2,149
4/7/14,April,NH,40,1,41,RF,2,152
4/7/14,April,NH,40,1,41,RF,2,155
4/7/14,April,NH,40,2,40.8,RF,2,155
4/7/14,April,NH,40,2,40.8,RF,2,124
4/7/14,April,NH,40,2,40.8,RF,1,123
4/7/14,April,NH,40,2,40.8,RF,2,160
4/7/14,April,NH,40,2,40.8,RF,2,144
4/7/14,April,NH,40,2,40.8,RF,1,166
4/7/14,April,NH,40,2,40.8,RF,2,160
4/7/14,April,NH,40,2,40.8,RF,2,149
4/7/14,April,NH,40,3,39.7,RF,2,162
4/7/14,April,NH,40,3,39.7,RF,1,158
4/7/14,April,NH,40,3,39.7,RF,2,137
4/7/14,April,NH,40,3,39.7,RF,1,155
4/7/14,April,NH,40,3,39.7,RF,2,162
4/7/14,April,NH,40,3,39.7,RF,2,150
4/7/14,April,NH,60,1,60,RF,1,128
4/7/14,April,NH,60,1,60,RF,2,156
4/7/14,April,NH,60,1,60,RF,2,128
4/7/14,April,NH,60,1,60,RF,2,150
4/7/14,April,NH,60,1,60,RF,2,141
4/7/14,April,NH,60,1,60,RF,2,124
4/7/14,April,NH,60,2,60.1,RF,2,149
4/7/14,April,NH,60,2,60.1,RF,2,149
4/7/14,April,NH,60,3,59.7,RF,1,166
4/7/14,April,NH,60,3,59.7,RF,2,132
4/7/14,April,NH,60,3,59.7,RF,1,150
4/7/14,April,PD,60,1,60.5,RF,1,172
4/7/14,April,PD,60,2,60.6,RF,2,134
4/7/14,April,PD,60,2,60.6,RF,2,146
4/7/14,April,PD,60,3,61.8,RF,2,112
4/7/14,April,PD,60,3,61.8,RF,1,145
4/7/14,April,PD,60,3,61.8,RF,2,143
4/7/14,April,PD,40,1,36.7,RF,2,156
4/7/14,April,PD,40,1,36.7,RF,2,145
4/7/14,April,PD,40,1,36.7,RF,1,161
4/7/14,April,PD,40,1,36.7,RF,2,157
4/7/14,April,PD,40,1,36.7,RF,2,154
4/7/14,April,PD,40,1,36.7,RF,2,147
4/7/14,April,PD,40,1,36.7,RF,2,158
4/7/14,April,PD,40,1,36.7,RF,1,156
4/7/14,April,PD,40,2,37.1,RF,2,135
4/7/14,April,PD,40,2,37.1,RF,1,164
4/7/14,April,PD,40,2,37.1,RF,2,157
4/7/14,April,PD,40,2,37.1,RF,2,144
4/7/14,April,PD,40,2,37.1,RF,2,150
4/7/14,April,PD,40,2,37.1,RF,2,160
4/7/14,April,PD,40,2,37.1,RF,2,157
4/7/14,April,PD,40,2,37.1,RF,1,126
4/7/14,April,PD,40,3,37.5,RF,1,188
4/7/14,April,PD,40,3,37.5,RF,2,175
4/7/14,April,PD,40,3,37.5,RF,1,160
4/7/14,April,PD,40,3,37.5,RF,1,162
4/7/14,April,PD,40,3,37.5,RF,2,165
4/7/14,April,PD,40,3,37.5,RF,2,158
4/7/14,April,PD,40,3,37.5,RF,1,165
4/7/14,April,SB,40,1,40.8,RF,2,160
4/7/14,April,SB,40,1,40.8,RF,2,150
4/7/14,April,SB,40,1,40.8,RF,2,156
4/7/14,April,SB,40,1,40.8,RF,2,154
4/7/14,April,SB,40,1,40.8,RF,2,151
4/7/14,April,SB,40,1,40.8,RF,2,167
4/7/14,April,SB,40,1,40.8,RF,2,153
4/7/14,April,SB,40,1,40.8,RF,1,149
4/7/14,April,SB,40,1,40.8,RF,2,151
4/7/14,April,SB,40,2,39.7,RF,2,166
