ID,Month,Day,Year,Site,Common Name,Length mm,Sex
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
10-25-03_3,October,25,2003,3,Chrysaora,,
