ID,Site,Year,Month,Day,Surface Temp C st,Bottom Temp C st,Surface Salinity ppt st,Bottom Salinity ppt st,Surface DO mg/l st,Bottom DO mg/l st,Surface Temp C end,Bottom Temp C end,Surface Salinity ppt end,Bottom Salinity ppt end,Surface DO mg/l end,Bottom DO mg/l end,,ID,Site,Year,Month,Day,Surface Temp C st,Bottom Temp C st,Surface Salinity ppt st,Bottom Salinity ppt st,Surface DO mg/l st,Bottom DO mg/l st,Surface Temp C end,Bottom Temp C end,Surface Salinity ppt end,Bottom Salinity ppt end,Surface DO mg/l end,Bottom DO mg/l end,,Year,Month,Bottom Temp C st,Bottom Salinity ppt st,Bottom DO mg/l st,,Year,Month,Mean Btm Temp,STDEV,Mean Btm Salinity,STDEV,Mean Btm DO,STDEV
10-25-03_4,4,2003,October,25,,,,,,,.,.,.,.,.,.,,10-30-08_1,1,2008,October,30,10.6,10.2,33,33.1,8.36,7.88,.,.,.,.,.,.,,2003,February,10.8,14.7,8.7,,2003,February,10.85,0.07,21.58,4.97,8.79,0.3
10-25-03_4b,4b,2003,October,25,,,,,,,.,.,.,.,.,.,,10-30-08_2,2,2008,October,30,10.2,10.1,33.1,33.1,7.75,7.79,.,.,.,.,.,.,,2003,February,10.9,21.2,8.44,,2003,March,11.3,0.18,22.98,4.19,.,.
10-25-03_3,3,2003,October,25,,,,,,,.,.,.,.,.,.,,10-30-08_3,3,2008,October,30,10.6,10.2,33,33.1,7.66,7.47,.,.,.,.,.,.,,2003,February,.,24.8,8.89,,2003,April,12.12,0.35,24.46,6.47,8.46,0.23
10-27-05_1,1,2005,October,27,,,,,,,.,.,.,.,.,.,,10-30-08_4,4,2008,October,30,10.8,10.5,32.7,32.9,.,.,.,.,.,.,.,.,,2003,February,.,25.6,9.14,,2003,May,12.74,0.79,29.18,4.04,8.7,0.13
10-27-05_2,2,2005,October,27,,,,,,,.,.,.,.,.,.,,10-30-08_5,5,2008,October,30,11.8,11.5,30.6,31.6,7.32,7.32,.,.,.,.,.,.,,2003,March,11.1,20.9,.,,2008,October,10.58,0.64,32.68,0.72,7.62,0.26
10-27-05_3,3,2005,October,27,,,,,,,.,.,.,.,.,.,,11-13-08_4,4,2008,November,13,13,12.7,9,26.9,8.9,7.92,.,.,.,.,.,.,,2003,March,11.2,19.6,.,,2008,November,5.73,6.06,28.66,2.78,8.17,0.18
10-27-05_4,4,2005,October,27,,,,,,,.,.,.,.,.,.,,11-13-08_5,5,2008,November,13,12.5,1.7,4.2,24.8,9.31,8.05,.,.,.,.,.,.,,2003,March,.,29,.,,,,,,,,,
10-27-05_5,5,2005,October,27,,,,,,,.,.,.,.,.,.,,11-13-08_2,2,2008,November,13,12.8,12.7,23.6,31.2,8.16,8.32,.,.,.,.,.,.,,2003,March,11.4,19.7,.,,,,,,,,,
10-30-04_2,2,2004,October,30,,,,,,,.,.,.,.,.,.,,11-13-08_1,1,2008,November,13,12.9,12.7,27.5,31.1,7.94,8.27,.,.,.,.,.,.,,2003,March,11.5,25.7,.,,,,,,,,,
10-30-04_5,5,2004,October,30,,,,,,,.,.,.,.,.,.,,11-13-08_3,3,2008,November,13,13.1,2.8,20.7,29.3,8.27,8.29,.,.,.,.,.,.,,2003,April,11.7,12.1,.,,,,,,,,,
